HEXOSKINTIME,VALUE
372177942173,118
372177942429,121
372177942685,118
372177942941,112
372177943197,110
372177943453,0
372177943709,0
372177943965,115
372177944221,121
372177944477,125
372177944733,126
372177944989,127
372177945245,125
372177945501,121
372177945757,121
372177946013,125
372177946269,0
372177946525,148
372177946781,174
372177947037,164
372177947293,135
372177947549,121
372177947805,115
372177948061,113
372177948317,112
372177948573,113
372177948829,117
372177949085,118
372177949341,114
372177949597,111
372177949853,131
372177950109,165
372177950365,164
372177950621,159
372177950877,172
372177951133,159
372177951389,131
372177951645,137
372177951901,164
372177952157,159
372177952413,138
372177952669,128
372177952925,128
372177953181,0
372177953437,0
372177953693,130
372177953949,125
372177954205,112
372177954461,107
372177954717,117
372177954973,128
372177955229,131
372177955485,125
372177955741,121
372177955997,123
372177956253,125
372177956509,124
372177956765,120
372177957021,121
372177957277,124
372177957533,125
372177957789,124
372177958045,123
372177958301,0
372177958557,0
372177958813,123
372177959069,120
372177959325,118
372177959581,117
372177959837,119
372177960093,122
372177960349,124
372177960605,125
372177960861,127
372177961117,127
372177961373,126
372177961629,125
372177961885,122
372177962141,121
372177962397,121
372177962653,120
372177962909,121
372177963165,123
372177963421,125
372177963677,125
372177963933,123
372177964189,122
372177964445,126
372177964701,130
372177964957,129
372177965213,127
372177965469,128
372177965725,129
372177965981,126
372177966237,124
372177966493,125
372177966749,127
372177967005,123
372177967261,115
372177967517,114
372177967773,136
372177968029,168
372177968285,0
372177968541,0
372177968797,161
372177969053,146
372177969309,178
372177969565,203
372177969821,174
372177970077,134
372177970333,117
372177970589,118
372177970845,141
372177971101,171
372177971357,164
372177971613,136
372177971869,123
372177972125,120
372177972381,122
372177972637,124
372177972893,122
372177973149,120
372177973405,119
372177973661,118
372177973917,119
372177974173,121
372177974429,121
372177974685,120
372177974941,119
372177975197,121
372177975453,122
372177975709,122
372177975965,124
372177976221,125
372177976477,123
372177976733,119
372177976989,0
372177977245,120
372177977501,0
372177977757,0
372177978013,0
372177978269,0
372177978525,0
372177978781,121
372177979037,120
372177979293,118
372177979549,119
372177979805,122
372177980061,125
372177980317,125
372177980573,124
372177980829,123
372177981085,122
372177981341,122
372177981597,122
372177981853,122
372177982109,121
372177982365,113
372177982621,100
372177982877,103
372177983133,110
372177983389,111
372177983645,114
372177983901,117
372177984157,119
372177984413,120
372177984669,116
372177984925,114
372177985181,117
372177985437,137
372177985693,167
372177985949,157
372177986205,121
372177986461,103
372177986717,109
372177986973,121
372177987229,125
372177987485,122
372177987741,119
372177987997,138
372177988253,167
372177988509,161
372177988765,134
372177989021,120
372177989277,120
372177989533,0
372177989789,129
372177990045,132
372177990301,127
372177990557,123
372177990813,122
372177991069,123
372177991325,123
372177991581,123
372177991837,120
372177992093,118
372177992349,119
372177992605,123
372177992861,126
372177993117,125
372177993373,125
372177993629,123
372177993885,118
372177994141,113
372177994397,113
372177994653,119
372177994909,125
372177995165,0
372177995421,0
372177995677,125
372177995933,122
372177996189,119
372177996445,118
372177996701,118
372177996957,118
372177997213,116
372177997469,116
372177997725,139
372177997981,169
372177998237,161
372177998493,132
372177998749,120
372177999005,123
372177999261,126
372177999517,124
372177999773,122
372178000029,121
372178000285,122
372178000541,124
372178000797,122
372178001053,121
372178001309,124
372178001565,126
372178001821,128
372178002077,129
372178002333,126
372178002589,122
372178002845,119
372178003101,119
372178003357,121
372178003613,123
372178003869,0
372178004125,124
372178004381,123
372178004637,120
372178004893,117
372178005149,116
372178005405,116
372178005661,119
372178005917,123
372178006173,124
372178006429,121
372178006685,119
372178006941,119
372178007197,119
372178007453,118
372178007709,119
372178007965,120
372178008221,121
372178008477,122
372178008733,121
372178008989,119
372178009245,121
372178009501,121
372178009757,138
372178010013,185
372178010269,0
372178010525,225
372178010781,218
372178011037,167
372178011293,121
372178011549,109
372178011805,114
372178012061,119
372178012317,120
372178012573,119
372178012829,118
372178013085,0
372178013341,118
372178013597,119
372178013853,119
372178014109,119
372178014365,119
372178014621,120
372178014877,121
372178015133,122
372178015389,120
372178015645,116
372178015901,114
372178016157,115
372178016413,118
372178016669,121
372178016925,121
372178017181,120
372178017437,138
372178017693,168
372178017949,171
372178018205,152
372178018461,135
372178018717,116
372178018973,102
372178019229,109
372178019485,117
372178019741,104
372178019997,0
372178020253,93
372178020509,103
372178020765,0
372178021021,0
372178021277,137
372178021533,173
372178021789,168
372178022045,138
372178022301,120
372178022557,120
372178022813,128
372178023069,129
372178023325,0
372178023581,0
372178023837,124
372178024093,121
372178024349,123
372178024605,125
372178024861,124
372178025117,122
372178025373,118
372178025629,118
372178025885,122
372178026141,124
372178026397,121
372178026653,119
372178026909,120
372178027165,129
372178027421,139
372178027677,133
372178027933,122
372178028189,122
372178028445,125
372178028701,126
372178028957,126
372178029213,126
372178029469,130
372178029725,132
372178029981,132
372178030237,133
372178030493,136
372178030749,133
372178031005,127
372178031261,124
372178031517,126
372178031773,127
372178032029,126
372178032285,125
372178032541,124
372178032797,124
372178033053,124
372178033309,123
372178033565,123
372178033821,124
372178034077,124
372178034333,115
372178034589,100
372178034845,101
372178035101,111
372178035357,114
372178035613,117
372178035869,123
372178036125,124
372178036381,123
372178036637,116
372178036893,107
372178037149,110
372178037405,116
372178037661,114
372178037917,105
372178038173,96
372178038429,95
372178038685,99
372178038941,106
372178039197,114
372178039453,118
372178039709,120
372178039965,120
372178040221,121
372178040477,120
372178040733,119
372178040989,117
372178041245,117
372178041501,119
372178041757,125
372178042013,132
372178042269,129
372178042525,118
372178042781,112
372178043037,112
372178043293,115
372178043549,116
372178043805,117
372178044061,117
372178044317,116
372178044573,117
372178044829,119
372178045085,0
372178045341,121
372178045597,123
372178045853,122
372178046109,117
372178046365,0
372178046621,0
372178046877,113
372178047133,115
372178047389,119
372178047645,122
372178047901,121
372178048157,120
372178048413,114
372178048669,106
372178048925,108
372178049181,115
372178049437,118
372178049693,0
372178049949,119
372178050205,118
372178050461,118
372178050717,119
372178050973,119
372178051229,0
372178051485,0
372178051741,120
372178051997,122
372178052253,121
372178052509,120
372178052765,119
372178053021,118
372178053277,116
372178053533,134
372178053789,166
372178054045,162
372178054301,131
372178054557,113
372178054813,111
372178055069,112
372178055325,114
372178055581,116
372178055837,118
372178056093,118
372178056349,117
372178056605,119
372178056861,120
372178057117,119
372178057373,119
372178057629,137
372178057885,167
372178058141,160
372178058397,129
372178058653,108
372178058909,103
372178059165,107
372178059421,115
372178059677,122
372178059933,121
372178060189,115
372178060445,111
372178060701,107
372178060957,104
372178061213,105
372178061469,125
372178061725,0
372178061981,0
372178062237,0
372178062493,153
372178062749,148
372178063005,124
372178063261,111
372178063517,109
372178063773,111
372178064029,113
372178064285,114
372178064541,115
372178064797,115
372178065053,116
372178065309,117
372178065565,0
372178065821,118
372178066077,118
372178066333,117
372178066589,115
372178066845,112
372178067101,111
372178067357,113
372178067613,114
372178067869,114
372178068125,115
372178068381,116
372178068637,116
372178068893,114
372178069149,113
372178069405,115
372178069661,116
372178069917,115
372178070173,114
372178070429,114
372178070685,113
372178070941,114
372178071197,115
372178071453,116
372178071709,115
372178071965,115
372178072221,0
372178072477,0
372178072733,116
372178072989,117
372178073245,117
372178073501,117
372178073757,117
372178074013,116
372178074269,115
372178074525,116
372178074781,116
372178075037,116
372178075293,115
372178075549,114
372178075805,114
372178076061,113
372178076317,114
372178076573,116
372178076829,116
372178077085,115
372178077341,114
372178077597,113
372178077853,113
372178078109,112
372178078365,0
372178078621,0
372178078877,111
372178079133,112
372178079389,112
372178079645,112
372178079901,112
372178080157,113
372178080413,114
372178080669,114
372178080925,114
372178081181,133
372178081437,163
372178081693,156
372178081949,125
372178082205,112
372178082461,113
372178082717,111
372178082973,107
372178083229,108
372178083485,111
372178083741,112
372178083997,112
372178084253,112
372178084509,112
372178084765,0
372178085021,0
372178085277,113
372178085533,113
372178085789,112
372178086045,111
372178086301,111
372178086557,113
372178086813,113
372178087069,113
372178087325,112
372178087581,112
372178087837,112
372178088093,113
372178088349,113
372178088605,113
372178088861,113
372178089117,113
372178089373,113
372178089629,115
372178089885,114
372178090141,113
372178090397,113
372178090653,113
372178090909,112
372178091165,111
372178091421,109
372178091677,109
372178091933,109
372178092189,110
372178092445,111
372178092701,113
372178092957,115
372178093213,114
372178093469,112
372178093725,111
372178093981,111
372178094237,112
372178094493,112
372178094749,112
372178095005,113
372178095261,113
372178095517,113
372178095773,112
372178096029,112
372178096285,111
372178096541,111
372178096797,110
372178097053,0
372178097309,0
372178097565,110
372178097821,111
372178098077,110
372178098333,109
372178098589,110
372178098845,111
372178099101,112
372178099357,111
372178099613,110
372178099869,110
372178100125,111
372178100381,112
372178100637,112
372178100893,111
372178101149,109
372178101405,107
372178101661,108
372178101917,110
372178102173,110
372178102429,110
372178102685,110
372178102941,110
372178103197,110
372178103453,111
372178103709,111
372178103965,110
372178104221,110
372178104477,109
372178104733,110
372178104989,111
372178105245,111
372178105501,111
372178105757,110
372178106013,109
372178106269,108
372178106525,108
372178106781,108
372178107037,107
372178107293,107
372178107549,108
372178107805,107
372178108061,108
372178108317,108
372178108573,109
372178108829,110
372178109085,110
372178109341,110
372178109597,109
372178109853,109
372178110109,107
372178110365,107
372178110621,107
372178110877,104
372178111133,99
372178111389,100
372178111645,107
372178111901,0
372178112157,112
372178112413,111
372178112669,109
372178112925,107
372178113181,106
372178113437,107
372178113693,108
372178113949,108
